"ProductId";"ProductLanguageId";"ProductVariantId";"ProductNumber";"ProductName";"ProductShortDescription";"ProductLongDescription";"ProductPrice";"ProductWeight";"ProductVolume";"ProductActive";"ProductCreated";"ProductUpdated";"ProductCost";"brand";"Format";"Type";"EAN";"Document";"Material";"EcoFriendly";"Color";"SupplierItemNumber";"Groups"
"PROD7";"LANG1";"";"10001";"Mongoose Tyax Comp Disc";"<p>So fast. So agile. So stable. So comfortable. So simple. Just hop on the light and durable chromoly frame, settle your tush into the comfy saddle, place your feet on the pedals and let the single speed drivetrain do all the work for you.</p>";"<ul>	<li>Aluminum h&aring;rd hale frame is lightweight and delivers solid performance on the trail</li>	<li>100mm of plush front suspension adds control and comfort in variable terrain</li>	<li>Shimano 24-speed drivetrain with 11/32T cassette gives you plenty of gearing options to choose from</li>	<li>EZ Fire trigger shifters for quick and effortless shifts</li>	<li>Aluminum handlebar, stem and adjustable seatpost supply core-level strength, style and performance</li>	<li>Kenda Komodo tires use a non-directional tread design to shed mud without compromising speed</li>	<li>ProMax mechanical disc brakes provide low maintenance, all-weather stopping power</li></ul>";"10007";"5";"5";"True";"09-01-2009 10:33:30:000";"22-08-2018 12:33:13:400";"0";"Mongoose";"";"";"";"";"Chromoly";"False";"";"";"""GROUP14"",""GROUP55"""
"PROD10";"LANG1";"";"10004";"Scattante X-560 Cyclocross";"<p>This winning CX racer will having you weaving through tight turns, climbing up unrelenting hills, traveling over jagged terrain, blasting through mucky conditions and conquering anything else that gets in its way!</p>";"<ul>	<li>7005 butted aluminum frame is lightweight, strong and rigid</li>	<li>Carbon bladed fork and seatpost dampens vibrations and offers a smooth, stiff ride</li>	<li>FSA Gossamer MegaExo compact cranks give you a sleek and powerful pedal stroke for the flats and the climbs</li>	<li>Shimano 105 drivetrain combines reliable speed and high performance with incredible control and response</li>	<li>Carbon/aluminum seatpost with aluminum stem and handlebar guarantees core-level strength, style and performance</li>	<li>Kenda K-932 tires provide excellent traction and stability without compromising speed</li>	<li>Alex ALX 270 wheelset cuts through the wind with bladed spokes, aero rims and smooth rolling hubs</li>	<li>Tektro 992AG linear-pull brakes deliver perfectly modulated stopping power</li></ul>";"849";"0";"0";"True";"09-01-2009 11:18:50:000";"20-02-2018 11:44:30:747";"0";"Scattante";NULL;"";NULL;"";"Chromoly";"True";"#607D8B";NULL;"""GROUP15"",""GROUP66"""
"PROD10";"LANG2";"";"10004";"Scattante X-560 Cyclocross";"<p>Denne vindende CX-racer vil få dig til at væve gennem stramme sving, klatre op i ubarmhjertige bakker, køre over kæmpet terræn, sprænge gennem vanskelige forhold og overvinde alt andet, der kommer i vejen!</p>";"<ul>	<li>7005 rammet aluminiumsramme er let, st&aelig;rk og stiv</li>	<li>Kuglebl&aelig;st gaffel og s&aelig;depost d&aelig;mper vibrationer og giver en j&aelig;vn, stiv ride</li>	<li>FSA Gossamer MegaExo kompakte cranks giver dig en slank og kraftfuld pedal slagtilf&aelig;lde for lejlighederne og klatrerne</li>	<li>Shimano 105 drivk&oslash;rslen kombinerer p&aring;lidelig hastighed og h&oslash;j ydeevne med utrolig kontrol og respons</li>	<li>Kulstof / aluminiums s&aelig;depude med aluminiumstang og styret garanterer styrke, stil og ydeevne p&aring; kerneniveau</li>	<li>Kenda K-932 d&aelig;k giver fremragende tr&aelig;kkraft og stabilitet uden at g&aring; p&aring; kompromis med hastigheden</li>	<li>Alex ALX 270 hjuls&aelig;t sk&aelig;rer gennem vinden med bladede eger, aero felger og glatte rullende nav</li>	<li>Tektro 992AG line&aelig;re tr&aelig;bremser leverer perfekt moduleret stopkraft</li></ul>";"849";"0";"0";"True";"09-01-2009 11:18:50:000";"20-02-2018 11:44:32:263";"0";"Scattante";NULL;"";NULL;"";"Chromoly";"True";"#607D8B";NULL;"""GROUP15"""
"PROD100";"LANG1";"";"10091";"Terry Women's Rosie Saddle";"<p>Rosie, the carefree rider on the back of this saddle, has come to life to liberate YOU and YOUR TUSH with comfort beyond your wildest dreams!</p>";"<ul>	<li>Unique, seamless cutaway through the nose relieves pressure on soft tissues</li>	<li>Slightly wider rear section offers exceptional support of a woman&rsquo;s sit bones</li>	<li>Extra padding keeps you cycling in luxurious comfort, without compromising one bit of performance</li>	<li>FeC alloy rails deliver lightweight strength</li>	<li>Smooth leather cover with Rosie graphic on the back offers one small piece of advice&hellip;&ldquo;ride like a girl!&rdquo;</li></ul>";"64,99";"1";"2";"True";"15-01-2009 12:44:41:000";"21-02-2018 09:39:05:750";"0";"Terry";NULL;"";NULL;"";"Leather";"False";"";NULL;"""GROUP34"",""GROUP91"""
"PROD100";"LANG2";"";"10091";"Terry Women's Rosie Saddle";"Rosie, den ubekymrede rytter på bagsiden af denne sadel, er kommet til liv for at befri dig og din snus med komfort ud over dine vildeste drømme!";"<ul>	<li>Unik, s&oslash;ml&oslash;s cutaway gennem n&aelig;sen lindrer trykket p&aring; bl&oslash;dt v&aelig;v</li>	<li>Lidt bredere bagsektion giver ekstraordin&aelig;r st&oslash;tte til en kvindes sitben</li>	<li>Ekstra polstring holder dig i cykel i luksuri&oslash;s komfort uden at g&aring; p&aring; kompromis med en smule pr&aelig;stationer</li>	<li>FeC-legeringsskinner leverer letv&aelig;gtsstyrke</li>	<li>Glat l&aelig;der cover med Rosie grafik p&aring; bagsiden giver et lille r&aring;d ... &quot;ride som en pige!&quot;</li></ul>";"64,99";"1";"0";"True";"15-01-2009 12:44:41:000";"20-02-2018 11:44:35:130";"0";"Terry";NULL;"";NULL;"";"Leather";"False";"";NULL;"""GROUP34"""
"PROD101";"LANG1";"";"10092";"Terry Women’s Butterfly Saddle";"<p>You don&rsquo;t have to sacrifice light weight and a low profile to get in-the-saddle-comfort.</p>";"<ul>	<li>Seamless cutaway is comfortable on soft tissues</li>	<li>Sculpted rear section supports the sit bones</li>	<li>Stiffer multi-density foam for increased pedaling power</li>	<li>Integrated suspension bridge minimizes road shock</li></ul>";"89,99";"1";"2";"True";"15-01-2009 12:47:29:000";"20-06-2018 08:58:42:200";"0";"Terry";NULL;"";NULL;"";"Leather";"False";"";NULL;"""GROUP34"",""GROUP91"""
"PROD101";"LANG2";"";"10092";"Terry Women’s Butterfly Saddle";"Du behøver ikke ofre let vægt og lav profil for at komme i sadel komfort.";"<ul>	<li>Problemfri cutaway er komfortabel p&aring; bl&oslash;dt v&aelig;v</li>	<li>Skulptureret bageste sektion underst&oslash;tter sitbenene</li>	<li>Stivere skum med flere densiteter for &oslash;get pedalkraft</li>	<li>Integreret fjederbro minimerer vejchok</li></ul>";"89,99";"1";"2";"True";"15-01-2009 12:47:29:000";"20-02-2018 11:44:37:847";"0";"Terry";NULL;"";NULL;"";"Leather";"False";"";NULL;"""GROUP34"""
"PROD102";"LANG1";"";"10093";"Selle Italia Flite Gel Flow Saddle";"<p>The forerunner of Selle Italia&rsquo;s ultra-light saddles, the Flite Gel Flow remains one of the most popular and comfortable racing saddles ever made!</p>";"<ul>	<li>Silicone gel inserts with differentiated thickness have been strategically placed around the anatomical cut out to improve comfort and relieve pressure in the frontal soft tissue area</li>	<li>Perfect Fit padding underneath adheres to your body for additional support</li>	<li>10% carbon composite shell absorbs bumps and vibrations on the road or trail</li>	<li>Breathable, full-grain leather cover</li>	<li>Titanium rails deliver lightweight flexibility</li></ul>";"159,99";"1";"2";"True";"15-01-2009 12:48:17:000";"21-02-2018 09:40:30:133";"0";"Selle Italia";NULL;"";NULL;"";"Titanium";"False";"";NULL;"""GROUP34"",""GROUP91"""
"PROD102";"LANG2";"";"10093";"Selle Italia Flite Gel Flow Saddle";"Forløberen til Selle Italiens ultralette sadler, Flite Gel Flow er stadig en af de mest populære og komfortable racersalger der nogensinde er lavet!";"<ul>	<li>Silikongelindsatser med differentieret tykkelse er strategisk placeret rundt om den anatomiske udsk&aelig;ring for at forbedre komforten og aflaste trykket i det frontale bl&oslash;de v&aelig;vsomr&aring;de</li>	<li>Perfekt Fit padding nedenunder kl&aelig;ber til din krop for yderligere support</li>	<li>10% carbon komposit skal absorberer st&oslash;t og vibrationer p&aring; vejen eller stien</li>	<li>&Aring;ndbar, fuldkornet l&aelig;derd&aelig;ksel</li>	<li>Titanium skinner leverer letv&aelig;gts fleksibilitet</li></ul>";"159,99";"1";"0";"True";"15-01-2009 12:48:17:000";"20-02-2018 11:44:40:590";"0";"Selle Italia";NULL;"";NULL;"";"Titanium";"False";"";NULL;"""GROUP34"""
"PROD103";"LANG1";"";"10094";"The Seat by Ergo - Lycra Gel Saddle";"<p>This saddle supports your body the same way as when you sit in a chair.</p>";"<ul>	<li>Extra wide for unbelievable support and comfort</li>	<li>Short length provides a non-restrictive pedal stroke</li>	<li>Integrated rear reflectors for added visibility</li>	<li>Gel padding dissipates road vibration while providing plenty of padding for comfort</li></ul>";"39,99";"0";"0";"True";"15-01-2009 12:51:34:000";"05-03-2018 17:11:57:333";"0";"Ergo";NULL;"";NULL;"";"";"False";"";NULL;"""GROUP34"",""GROUP91"""
